ranker,policy,memory_condition,agent_field,n,retrieval_shortfall_rate,selected_count_mean,selected_count_null_reason,topic_match_rate_mean,topic_match_rate_null_reason,topic_label_match_rate_mean,topic_label_match_rate_null_reason,pool_qualified_rate_mean,pool_qualified_rate_null_reason,selected_relevance_mean_mean,selected_relevance_mean_null_reason,near_duplicate_pair_rate_mean,near_duplicate_pair_rate_null_reason,unique_cluster_ratio_mean,unique_cluster_ratio_null_reason,candidate_recall_mean,candidate_recall_null_reason,relevant_slot_precision_mean,relevant_slot_precision_null_reason,relevant_coverage_at_3_mean,relevant_coverage_at_3_null_reason,candidate_memory_component_mean,candidate_evidence_relevance_mean
baseline_v03,balanced,empty,agents,12,0,3,,1.0,,1.0,,1.0,,0.6159722222222221,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,0.45590277777777777
baseline_v03,balanced,empty,learning,12,0,3,,0.8333333333333334,,0.8333333333333334,,1.0,,0.6201388888888888,,0.0,,1.0,,0.8333333333333334,,0.8333333333333334,,0.8333333333333334,,0.0,0.43194444444444446
baseline_v03,balanced,empty,science,12,0,3,,0.75,,0.75,,1.0,,0.6222222222222221,,0.0,,1.0,,0.8333333333333334,,0.75,,0.75,,0.0,0.4652777777777778
baseline_v03,balanced,related,agents,12,0,3,,1.0,,1.0,,1.0,,0.6159722222222221,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,0.45590277777777777
baseline_v03,balanced,related,learning,12,0,3,,0.8333333333333334,,0.8333333333333334,,1.0,,0.6201388888888888,,0.0,,1.0,,0.8333333333333334,,0.8333333333333334,,0.8333333333333334,,0.0,0.43194444444444446
baseline_v03,balanced,related,science,12,0,3,,0.75,,0.75,,1.0,,0.6222222222222221,,0.0,,1.0,,0.8333333333333334,,0.75,,0.75,,0.0,0.4652777777777778
baseline_v03,balanced,unrelated,agents,12,0,3,,1.0,,1.0,,1.0,,0.6159722222222221,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,0.45590277777777777
baseline_v03,balanced,unrelated,learning,12,0,3,,0.8333333333333334,,0.8333333333333334,,1.0,,0.6201388888888888,,0.0,,1.0,,0.8333333333333334,,0.8333333333333334,,0.8333333333333334,,0.0,0.43194444444444446
baseline_v03,balanced,unrelated,science,12,0,3,,0.75,,0.75,,1.0,,0.6222222222222221,,0.0,,1.0,,0.8333333333333334,,0.75,,0.75,,0.0,0.4652777777777778
baseline_v03,novelty,empty,agents,12,0,3,,1.0,,1.0,,1.0,,0.6159722222222221,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,0.45590277777777777
baseline_v03,novelty,empty,learning,12,0,3,,0.8333333333333334,,0.8333333333333334,,1.0,,0.6201388888888888,,0.0,,1.0,,0.8333333333333334,,0.8333333333333334,,0.8333333333333334,,0.0,0.43194444444444446
baseline_v03,novelty,empty,science,12,0,3,,0.75,,0.75,,1.0,,0.6222222222222221,,0.0,,1.0,,0.8333333333333334,,0.75,,0.75,,0.0,0.4652777777777778
baseline_v03,novelty,related,agents,12,0,3,,1.0,,1.0,,1.0,,0.6159722222222221,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,0.45590277777777777
baseline_v03,novelty,related,learning,12,0,3,,0.8333333333333334,,0.8333333333333334,,1.0,,0.6201388888888888,,0.0,,1.0,,0.8333333333333334,,0.8333333333333334,,0.8333333333333334,,0.0,0.43194444444444446
baseline_v03,novelty,related,science,12,0,3,,0.75,,0.75,,1.0,,0.6222222222222221,,0.0,,1.0,,0.8333333333333334,,0.75,,0.75,,0.0,0.4652777777777778
baseline_v03,novelty,unrelated,agents,12,0,3,,1.0,,1.0,,1.0,,0.6159722222222221,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,0.45590277777777777
baseline_v03,novelty,unrelated,learning,12,0,3,,0.8333333333333334,,0.8333333333333334,,1.0,,0.6201388888888888,,0.0,,1.0,,0.8333333333333334,,0.8333333333333334,,0.8333333333333334,,0.0,0.43194444444444446
baseline_v03,novelty,unrelated,science,12,0,3,,0.75,,0.75,,1.0,,0.6222222222222221,,0.0,,1.0,,0.8333333333333334,,0.75,,0.75,,0.0,0.4652777777777778
baseline_v03,recognition,empty,agents,12,0,3,,1.0,,1.0,,1.0,,0.6159722222222221,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,0.45590277777777777
baseline_v03,recognition,empty,learning,12,0,3,,0.8333333333333334,,0.8333333333333334,,1.0,,0.6201388888888888,,0.0,,1.0,,0.8333333333333334,,0.8333333333333334,,0.8333333333333334,,0.0,0.43194444444444446
baseline_v03,recognition,empty,science,12,0,3,,0.75,,0.75,,1.0,,0.6222222222222221,,0.0,,1.0,,0.8333333333333334,,0.75,,0.75,,0.0,0.4652777777777778
baseline_v03,recognition,related,agents,12,0,3,,1.0,,1.0,,1.0,,0.6159722222222221,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,0.45590277777777777
baseline_v03,recognition,related,learning,12,0,3,,0.8333333333333334,,0.8333333333333334,,1.0,,0.6201388888888888,,0.0,,1.0,,0.8333333333333334,,0.8333333333333334,,0.8333333333333334,,0.0,0.43194444444444446
baseline_v03,recognition,related,science,12,0,3,,0.75,,0.75,,1.0,,0.6222222222222221,,0.0,,1.0,,0.8333333333333334,,0.75,,0.75,,0.0,0.4652777777777778
baseline_v03,recognition,unrelated,agents,12,0,3,,1.0,,1.0,,1.0,,0.6159722222222221,,0.0,,1.0,,1.0,,1.0,,1.0,,0.0,0.45590277777777777
baseline_v03,recognition,unrelated,learning,12,0,3,,0.8333333333333334,,0.8333333333333334,,1.0,,0.6201388888888888,,0.0,,1.0,,0.8333333333333334,,0.8333333333333334,,0.8333333333333334,,0.0,0.43194444444444446
