review_id,branch,idea_id
c04e7863541e8590,seed_42/balanced_closed,idea_1_s01
79e62ce62781777d,seed_42/balanced_closed,idea_1_s02
1e564895c3a81d89,seed_42/balanced_closed,idea_1_s03
9a6737516109334a,seed_42/balanced_closed,idea_1_s04
027be58f84844e7a,seed_42/balanced_closed,idea_1_s05
8d99ada122e71cf4,seed_42/balanced_closed,idea_1_s06
3742c2bc9934f837,seed_42/balanced_closed,idea_1_s07
85521011d41ddda8,seed_42/balanced_closed,idea_1_s09
a2c5d67e69dac7b6,seed_42/balanced_closed,idea_1_s11
62ee33556488ae7f,seed_42/balanced_closed,idea_1_s12
2b12322108f334ea,seed_42/balanced_closed,idea_1_s13
d255246ea795eb69,seed_42/balanced_closed,idea_1_s14
a459b52317153fb4,seed_42/balanced_closed,idea_1_s15
2dc0e54919558742,seed_42/balanced_closed,idea_1_s17
6ec010cb67ff8f99,seed_42/balanced_closed,idea_1_s18
f72b8b3eaee85a7c,seed_42/balanced_closed,idea_1_s19
f5c37b7f2d72586b,seed_42/balanced_closed,idea_2_s00
d53f39462de3e02c,seed_42/balanced_closed,idea_2_s02
7d4dcacc95a105b8,seed_42/balanced_closed,idea_2_s03
149b4bda71b44d2b,seed_42/balanced_closed,idea_2_s04
cb536b4c870b68d3,seed_42/balanced_closed,idea_2_s06
5056627b84793be3,seed_42/balanced_closed,idea_2_s08
76b67f0755d327cc,seed_42/balanced_closed,idea_2_s10
66bf2550b52ccbc9,seed_42/balanced_closed,idea_2_s11
bf109e292a0e0124,seed_42/balanced_closed,idea_2_s12
5a7ecc69657deb7c,seed_42/balanced_closed,idea_2_s13
63fc3df6d67e577e,seed_42/balanced_closed,idea_2_s14
6e2ed4a53c21b325,seed_42/balanced_closed,idea_2_s15
ca752e9b0f93ee5d,seed_42/balanced_closed,idea_2_s16
46598a518476b85a,seed_42/balanced_closed,idea_2_s18
1cdc62c387c28789,seed_42/balanced_closed,idea_2_s19
4c0ed4db47b3b26d,seed_42/balanced_closed,idea_3_s00
cd43b86d18f36d49,seed_42/balanced_closed,idea_3_s01
7f1551442059c289,seed_42/balanced_closed,idea_3_s02
aeaffccf007e14dc,seed_42/balanced_closed,idea_3_s03
bca38ac2888d091e,seed_42/balanced_closed,idea_3_s04
da0398b755a224c4,seed_42/balanced_closed,idea_3_s05
d712f5c2b69f036b,seed_42/balanced_closed,idea_3_s06
9577bd9481c45876,seed_42/balanced_closed,idea_3_s07
57244a64fee4e322,seed_42/balanced_closed,idea_3_s09
b6a3b15d78775cf6,seed_42/balanced_closed,idea_3_s11
96ea5abe74382c68,seed_42/balanced_closed,idea_3_s13
6dcf2c5cb870cfcc,seed_42/balanced_closed,idea_3_s15
1de9aad3a5e6cdfb,seed_42/balanced_closed,idea_3_s17
4c07ed8eb00bfb54,seed_42/balanced_closed,idea_3_s19
7ef103d310997ccd,seed_42/balanced_closed,idea_4_s00
bc78a987538cbf6d,seed_42/balanced_closed,idea_4_s02
7a49035bdcd0b1eb,seed_42/balanced_closed,idea_4_s03
5c4edeaf13121bde,seed_42/balanced_closed,idea_4_s04
fd9c45256de7e7c5,seed_42/balanced_closed,idea_4_s05
41361edf557f41ba,seed_42/balanced_closed,idea_4_s06
4d8c12b1167facd6,seed_42/balanced_closed,idea_4_s07
fb650199bdce41e5,seed_42/balanced_closed,idea_4_s08
ee03414f61d64c6a,seed_42/balanced_closed,idea_4_s10
48ac12f76f459b0a,seed_42/balanced_closed,idea_4_s11
98fc096f49367ce9,seed_42/balanced_closed,idea_4_s12
5057e71719b8e595,seed_42/balanced_closed,idea_4_s14
9332f0fb75218bfc,seed_42/balanced_closed,idea_4_s16
78cb875354249acc,seed_42/balanced_closed,idea_4_s17
02b8683c3b38fe1f,seed_42/balanced_closed,idea_4_s18
0a0f9235920de2f5,seed_42/balanced_closed,idea_4_s19
2b24bda8918d5cff,seed_42/balanced_open,idea_1_s01
c7ffb02d8359cd45,seed_42/balanced_open,idea_1_s02
6d621f2640d517b5,seed_42/balanced_open,idea_1_s03
d516597eb4d4afad,seed_42/balanced_open,idea_1_s04
bb88eec9f31d509e,seed_42/balanced_open,idea_1_s05
336bdec2bf3e6009,seed_42/balanced_open,idea_1_s06
f4bad0b20427b9ae,seed_42/balanced_open,idea_1_s07
5475704917fc8948,seed_42/balanced_open,idea_1_s09
abf62334248bbd92,seed_42/balanced_open,idea_1_s10
1f65b791abbbfcf3,seed_42/balanced_open,idea_1_s11
6c905ead4f476bc6,seed_42/balanced_open,idea_1_s12
1fdd7e2fd243937e,seed_42/balanced_open,idea_1_s13
6cd1a30b88369a89,seed_42/balanced_open,idea_1_s14
a0d730111f77c9aa,seed_42/balanced_open,idea_1_s15
a84a99f993813fa3,seed_42/balanced_open,idea_1_s16
87f78c8321416777,seed_42/balanced_open,idea_1_s17
a2b289847c793d1d,seed_42/balanced_open,idea_1_s18
59154c5c668c25c2,seed_42/balanced_open,idea_1_s19
9201e1e5b400150e,seed_42/balanced_open,idea_2_s00
26d63d4008bb3d7d,seed_42/balanced_open,idea_2_s02
a8b9d5ee5bca92fe,seed_42/balanced_open,idea_2_s03
b044295ab2d144e1,seed_42/balanced_open,idea_2_s04
17885942d32b942c,seed_42/balanced_open,idea_2_s06
8c4e8afe4c5c25e3,seed_42/balanced_open,idea_2_s08
7fe96be1d0e4e92e,seed_42/balanced_open,idea_2_s10
9abcceb980ef2107,seed_42/balanced_open,idea_2_s11
ce1049e39d958a85,seed_42/balanced_open,idea_2_s12
6d4b92c9aeed2a18,seed_42/balanced_open,idea_2_s13
865d3cbc5e898988,seed_42/balanced_open,idea_2_s14
ca00b6c8b50790bf,seed_42/balanced_open,idea_2_s16
b1cd638a2231ee90,seed_42/balanced_open,idea_2_s17
41887ea2147665e7,seed_42/balanced_open,idea_2_s18
2a8befcaae3ad868,seed_42/balanced_open,idea_2_s19
5456dd693ff72560,seed_42/balanced_open,idea_3_s00
e3aa11d6441954ca,seed_42/balanced_open,idea_3_s01
ccfbd8e2fa097a0c,seed_42/balanced_open,idea_3_s02
ccf250ff9728e957,seed_42/balanced_open,idea_3_s03
10853a088de51b12,seed_42/balanced_open,idea_3_s04
e2b28c8a34282a37,seed_42/balanced_open,idea_3_s05
222641454f44237f,seed_42/balanced_open,idea_3_s06
738576184da5679b,seed_42/balanced_open,idea_3_s07
fce23d52b86646ac,seed_42/balanced_open,idea_3_s08
a2261c0121784f55,seed_42/balanced_open,idea_3_s09
e82eb6e115a3c759,seed_42/balanced_open,idea_3_s11
087d20634945b179,seed_42/balanced_open,idea_3_s13
31485084b5861485,seed_42/balanced_open,idea_3_s15
1fd39da8b5174da0,seed_42/balanced_open,idea_3_s17
1728e1c1c364d47e,seed_42/balanced_open,idea_3_s19
59e9a4373e2ad8a8,seed_42/balanced_open,idea_4_s00
3b39e2172b5640cf,seed_42/balanced_open,idea_4_s02
192ee97b07a2ce33,seed_42/balanced_open,idea_4_s03
487b4f07ddd492f1,seed_42/balanced_open,idea_4_s04
cf3c76b787501684,seed_42/balanced_open,idea_4_s05
9babd03713b3e300,seed_42/balanced_open,idea_4_s06
1e3b146e8eaf4fb2,seed_42/balanced_open,idea_4_s07
279bd8bc60c2476e,seed_42/balanced_open,idea_4_s08
139240313a11f223,seed_42/balanced_open,idea_4_s10
7a8321a3538e19e4,seed_42/balanced_open,idea_4_s11
0ad95fc4c586083f,seed_42/balanced_open,idea_4_s12
068e243ecbc23fea,seed_42/balanced_open,idea_4_s13
0c957192a63c7af5,seed_42/balanced_open,idea_4_s14
04fe6768517d6b15,seed_42/balanced_open,idea_4_s16
56dfa72bed54d531,seed_42/balanced_open,idea_4_s18
fc7b1fd9bc0c40a6,seed_42/balanced_open,idea_4_s19
4fd9a9788fb32a76,seed_42/novelty_closed,idea_1_s01
c76417432374dcf7,seed_42/novelty_closed,idea_1_s02
60889bf1f59f84cb,seed_42/novelty_closed,idea_1_s03
d58fdbf524fbed90,seed_42/novelty_closed,idea_1_s04
abdb025308ab8fd9,seed_42/novelty_closed,idea_1_s05
46f979a0aee7cc64,seed_42/novelty_closed,idea_1_s06
751ff5c813e654b0,seed_42/novelty_closed,idea_1_s07
01540cbaac1b3099,seed_42/novelty_closed,idea_1_s09
c44f576b4c4f6795,seed_42/novelty_closed,idea_1_s11
5b478311bd529170,seed_42/novelty_closed,idea_1_s12
01d3ef205a3bbe2d,seed_42/novelty_closed,idea_1_s13
5f3891e492c0b648,seed_42/novelty_closed,idea_1_s14
a7f8ea640413fec1,seed_42/novelty_closed,idea_1_s15
201840345f0237c2,seed_42/novelty_closed,idea_1_s17
6c39179d710d4e48,seed_42/novelty_closed,idea_1_s18
edf4b4086a19f142,seed_42/novelty_closed,idea_1_s19
01d4f3785264d735,seed_42/novelty_closed,idea_2_s00
9fa441b695d4289d,seed_42/novelty_closed,idea_2_s02
55e77762c396ebc2,seed_42/novelty_closed,idea_2_s03
3954694dbef8fcd4,seed_42/novelty_closed,idea_2_s04
1700f1fb24803a5b,seed_42/novelty_closed,idea_2_s06
4289b304b1960f65,seed_42/novelty_closed,idea_2_s08
6e20bd702e18ebca,seed_42/novelty_closed,idea_2_s10
772a21adfa5e8847,seed_42/novelty_closed,idea_2_s11
740c5633fcf387b5,seed_42/novelty_closed,idea_2_s12
d158a24238966ac7,seed_42/novelty_closed,idea_2_s13
41f229d0e79002a7,seed_42/novelty_closed,idea_2_s14
e63d07dc0bcb6a50,seed_42/novelty_closed,idea_2_s15
7fc9aa6bc19f58ef,seed_42/novelty_closed,idea_2_s16
a711501d3b077e43,seed_42/novelty_closed,idea_2_s18
6a4261fb390067f0,seed_42/novelty_closed,idea_2_s19
ed5b66c249bb8dba,seed_42/novelty_closed,idea_3_s00
d5977b31fca398df,seed_42/novelty_closed,idea_3_s01
fb021c51c0688d02,seed_42/novelty_closed,idea_3_s02
94afc0abaa254f88,seed_42/novelty_closed,idea_3_s03
d2b6e8c9019bebb7,seed_42/novelty_closed,idea_3_s04
6a62a994b99b0cb0,seed_42/novelty_closed,idea_3_s05
0f04a913aad241a0,seed_42/novelty_closed,idea_3_s06
bdc580e11ea89c02,seed_42/novelty_closed,idea_3_s07
0d3403eeebc1fcb1,seed_42/novelty_closed,idea_3_s09
4500ef4cc251ca0d,seed_42/novelty_closed,idea_3_s11
c2ca070ac6d254d2,seed_42/novelty_closed,idea_3_s13
fc6ee55257d3a6eb,seed_42/novelty_closed,idea_3_s15
6e37fcbb92e24f60,seed_42/novelty_closed,idea_3_s17
50bce57df7f05e9b,seed_42/novelty_closed,idea_3_s19
0a6f67a58e36e358,seed_42/novelty_closed,idea_4_s00
87cb07b1ecee52a9,seed_42/novelty_closed,idea_4_s02
3b9e06db216803cf,seed_42/novelty_closed,idea_4_s03
ca7b573251a966eb,seed_42/novelty_closed,idea_4_s04
db8309b0f127ffa7,seed_42/novelty_closed,idea_4_s05
bd43a9c3875ae90b,seed_42/novelty_closed,idea_4_s06
28e5e883be81fbeb,seed_42/novelty_closed,idea_4_s07
